DateTime,AddedIPs,RemovedIPs
1581579848,5156,1051117
1581666309,1051117,68233
1581752769,68233,2468
1581839230,2468,199276
1581925690,199276,1039
1582012149,1039,66429
1582098609,66429,67912
1582185071,67912,477
1582271529,477,866
1582357993,866,12690
1582444450,12690,360
1582530910,360,68722
1582617371,68722,34093
1582703827,34093,256
1582790290,256,841
1582876749,841,74648
1582963209,74648,266753
1583049669,266753,66220
1583136128,66220,2690
1583222588,2690,942
1583309107,942,2972
1583395567,2972,132188
1583482028,132188,449
1583568488,449,20184
1583654960,20184,66605
1583741413,66605,468
1583827900,468,67050
1583914328,67050,5016
1584000820,5016,132660
1584087304,132660,1128
1584173827,1128,456
1584260288,456,1800
1584346748,1800,1136
1584433210,1136,636
1584519676,636,900
1584606158,900,424
1584692592,424,1538
1584779063,1538,12608
1584865551,12608,5012
1584952051,5012,10412
1585038531,10412,161
1585125010,161,1473
1585211481,1473,138168
1585297944,138168,17948
1585384483,17948,68484
1585471018,68484,644
1585557462,644,4444
1585643957,4444,932
1585730409,932,67616
1585816908,67616,528
1585903412,528,1415
1585989936,1415,381
1586076394,381,10940
1586162838,10940,6452
1586249354,6452,9108
1586335839,9108,656
1586422282,656,142977
1586508770,142977,74377
1586595199,74377,69062
1586681741,69062,68360
1586768174,68360,70460
1586854655,70460,472
1586941209,472,553
1587027693,553,713
1587114175,713,66340
1587200648,66340,3772
1587373636,3772,220
1587460146,220,133225
1587546645,133225,122
1587633128,122,8793
1587719624,8793,68369
1587806052,68369,97911
1587892511,97911,67997
1587979027,67997,256
1588065489,256,308
1588151957,308,3432
1588238409,3432,67683
1588324925,67683,8298
1588411415,8298,1811
1588497898,1811,1152
1588584319,1152,2160
1588670876,2160,1116
1588757408,1116,420
1588843879,420,67632
1588930335,67632,4933
1589016975,4933,132204
1589103562,132204,2676
1589190009,2676,68062
1589276503,68062,10820
1589362999,10820,2493
1589449528,2493,133156
1589535972,133156,5784
1589622699,5784,832
1589709262,832,82764
1589795712,82764,945
1589882169,945,1093
1589968682,1093,1176
1590055155,1176,393
1590141609,393,66552
1590228069,66552,74912
1590314529,74912,13445
1590401013,13445,9268
1590487462,9268,4809
1590574038,4809,1719
1590660728,1719,7466
1590747220,7466,66277
1590833691,66277,916
1590920111,916,1120
1591006690,1120,69845
1591093217,69845,672
