DateTime,AddedIPs,RemovedIPs
1619921525,23,0
1619927942,88,65
1619929211,18,0
1619936885,5,0
1619953217,1235,1643
1619977949,134,0
1619990407,250,0
1619998327,24,27
1620009846,26,25
1620014342,100,57
1620017527,20,28
1620021366,5,27
1620039620,1230,1867
1620069391,149,0
1620081630,250,0
1620083767,25,0
1620095286,30,0
1620100743,94,55
1620102972,30,0
1620106810,10,0
1620122420,1406,1580
1620160085,151,0
1620172334,250,0
1620172818,24,0
1620180485,21,0
1620187142,101,69
1620188409,28,0
1620196326,6,0
1620205220,1477,1626
1620252255,137,0
1620258247,17,0
1620264008,250,0
1620269768,19,0
1620273621,27,0
1620281287,119,75
1620291618,1656,2242
1620342726,14,0
1620343213,136,0
1620354246,23,0
1620354989,250,0
1620359943,83,77
1620361927,23,0
1620369604,20,0
1620378017,1929,1717
1620431288,24,0
1620435149,138,0
1620443049,24,0
1620446186,250,0
1620446884,27,0
1620454564,119,67
1620464416,1647,1544
1620516725,15,0
1620527048,140,0
1620528245,20,0
1620532743,66,52
1620536170,28,0
1620537608,250,0
1620540014,17,0
1620550818,1317,1668
1620601933,15,20
1620613685,24,28
1620618733,129,0
1620619143,80,81
1620621367,19,42
1620625208,15,11
1620629309,250,0
1620637221,1513,1829
1620690731,18,14
1620702081,23,37
1620705846,17,0
1620710165,241,178
1620713525,10,17
1620721458,248,249
1620723618,2052,1766
1620776408,16,23
1620787924,22,15
1620791943,138,43
1620795618,23,61
1620799687,20,24
1620802089,129,108
1620806421,2243,1565
1620812903,250,248
1620861847,16,24
1620873368,26,0
1620878343,92,48
1620881047,20,21
1620884886,13,0
1620893292,153,111
1620904810,2537,2089
1620950648,23,24
1620958566,21,18
1620964742,111,65
1620966249,16,0
1620974165,15,35
1620975619,2138,1617
1620984013,142,150
1620996739,250,250
1621036326,22,21
1621047685,22,46
1621051688,28,48
1621059365,144,106
1621062019,2197,1427
1621075927,148,129
1621089370,250,250
1621121288,11,15
1621132808,16,16
1621137543,114,38
1621140486,19,18
1621144325,10,10
1621144818,2036,1421
1621168352,137,95
1621181553,250,250
1621209682,23,15
1621217529,24,0
1621223943,109,48
1621225206,23,16
1621231218,1829,1933
1621232886,10,11
1621259529,160,143
1621272727,250,250
1621294806,19,0
1621306325,32,37
1621310342,95,70
1621314023,18,20
1621317681,27,6
1621350967,2449,1931
1621363712,250,250
1621382166,23,33
1621391047,27,0
1621396742,90,85
1621398726,24,18
1621406647,2191,2090
1621455155,362,326
1621467846,25,22
1621476734,14,28
1621483219,2612,2260
1621484896,15,0
1621492568,23,13
1621547054,384,383
1621554011,16,0
1621566247,23,39
1621570091,21,30
1621577773,2384,1687
1621640414,346,385
1621640891,24,15
1621652653,31,22
1621656486,2412,1580
1621664409,92,92
1621727532,21,39
1621734036,343,342
1621739047,12,17
1621743162,2094,1438
1621750807,12,30
1621812009,33,15
1621818020,2454,1705
1621823770,26,21
1621826173,362,371
1621828743,82,89
1621831685,27,36
1621835527,14,8
1621897931,13,0
1621900822,2575,1528
1621909684,24,26
1621915142,131,73
1621917371,33,26
1621917852,368,334
1621925047,33,13
1621985527,20,13
1621987221,2374,1984
1621997047,15,0
1622001542,106,47
1622004730,27,23
1622008565,19,0
1622010013,405,383
1622070488,22,16
1622082248,2373,1626
1622087943,82,61
1622090166,15,19
1622097847,25,29
1622102414,360,395
1622156421,2342,1551
1622160033,24,37
1622167689,18,19
1622174342,125,69
1622175609,28,0
1622183287,22,15
1622196046,365,398
1622242819,2048,1394
1622245688,20,0
1622257225,21,47
1622261048,24,16
1622268726,137,62
1622288176,364,367
1622325619,1911,1146
1622331473,26,23
1622342890,15,0
1622347142,151,58
1622351054,26,45
1622355133,12,25
1622381099,365,401
1622417531,15,33
1622429050,24,57
1622433542,150,56
1622436967,24,22
1622441053,14,7
1622455220,2607,2809
1622473936,414,385
1622503214,26,0
1622514727,30,22
1622522409,23,16
1622530085,10,9
1622541618,2075,2080
1622565876,372,379
1622592018,37,38
1622599689,34,0
1622607366,29,0
1622615291,280,135
1622628021,2176,1876
1622658734,370,380
1622679851,33,23
1622687769,28,57
1622693533,177,77
1622699528,21,6
1622710819,2107,2082
1622750932,411,394
1622761695,22,0
1622773209,35,21
1622779143,129,72
1622782342,36,56
1622788811,19,7
1622797219,2223,1662
1622844989,358,523
1622848808,28,23
1622860570,32,0
1622865849,30,26
1622872333,130,61
1622883618,1964,1478
1622935687,17,32
1622938572,352,377
1622947451,39,46
1622951942,109,70
1622955849,27,26
1622959287,20,21
1622970018,1818,1408
1623022814,40,0
1623033151,348,378
1623034820,26,0
1623039130,139,87
1623046810,14,32
1623056420,1825,2021
1623109686,35,36
1623121218,31,46
1623124742,100,66
1623126485,24,0
1623128431,350,379
1623132731,11,11
1623139220,1883,1760
1623195851,42,13
1623207625,31,25
1623211142,136,78
1623213612,31,47
1623219365,15,9
1623221792,415,618
1623222018,2018,1608
1623282250,25,0
1623293770,34,0
1623297542,126,68
1623299771,30,18
1623305533,16,20
1623315654,2390,2405
1623369371,21,27
1623380892,36,43
1623383942,132,71
1623386169,25,0
1623387619,1875,1817
1623392650,10,14
1623409961,395,373
1623456493,19,16
1623464407,31,0
1623470342,120,85
1623473051,26,43
1623474020,1989,1489
1623480013,16,12
1623502355,385,379
1623542419,30,0
1623550334,19,29
1623556742,123,67
1623559213,26,20
1623565929,1517,1302
1623595961,355,382
1623629293,26,42
1623637209,24,20
1623643142,1679,1735
1623645365,25,29
1623653050,14,22
1623688333,403,394
1623715692,39,11
1623723610,23,26
1623729542,2010,2206
1623731288,27,0
1623738970,10,10
1623780020,372,369
1623802088,33,21
1623809773,2125,1928
1623815942,89,75
1623817447,23,48
1623825125,17,21
1623872414,381,409
1623887287,30,16
1623891620,1929,1821
1623898883,25,32
1623902649,28,0
1623910329,119,108
1623964826,343,391
1623973932,25,0
1623978020,1924,2002
1623985929,24,26
1623988742,97,88
1623990009,27,18
1623997932,15,0
1624057947,340,363
1624060570,27,45
1624064419,1701,1484
1624072327,25,15
1624076168,113,91
1624083854,8,16
1624146249,23,16
1624150823,344,380
1624157765,1585,1348
1624161542,79,78
1624165691,26,41
1624169526,12,13
1624231446,19,0
1624237219,1503,1931
1624242509,398,346
1624242970,28,22
1624247942,81,67
1624250652,27,19
1624258328,10,38
1624320249,34,47
1624327928,2107,1859
1624334678,415,339
1624335850,105,106
1624343524,14,10
1624405448,27,35
1624416965,1933,2084
1624420742,89,82
1624424888,37,27
1624426105,338,352
1624428730,17,20
1624489219,2185,1930
1624490890,19,16
1624502405,32,23
1624507142,87,85
1624510330,35,34
1624514168,18,0
1624518731,361,371
1624572018,2039,1769
1624579688,35,20
1624587365,35,0
1624593542,108,78
1624595047,23,0
1624602726,14,51
1624610887,358,396
1624654818,1948,1415
1624664648,31,20
1624676420,37,45
1624679942,99,93
1624684332,32,43
1624688168,15,0
1624702585,407,345
1624737619,1731,1412
1624750087,22,0
1624761846,35,21
1624766342,83,129
1624769770,30,28
1624773852,8,21
1624794254,341,362
1624820418,1502,1922
1624836250,21,28
1624848250,25,0
1624852742,105,71
1624855928,34,25
1624859764,17,29
1624886413,348,345
1624903222,2020,1696
1624921931,29,18
1624933447,31,21
1624939143,103,63
1624941368,33,0
1624949052,15,24
1624977852,416,352
1624989620,2073,1857
1625011448,22,44
1625019366,26,15
1625025543,79,73
1625027048,31,32
1625034727,14,15
1625069300,450,408
1625072421,2005,1660
1625096408,30,19
1625108166,19,47
1625111942,79,113
1625115847,32,49
1625119686,19,0
1625158821,1942,1673
1625161212,377,366
1625182330,32,0
1625193846,31,22
1625198342,100,87
1625201529,21,18
1625205364,15,20
1625245220,2077,1866
1625252191,363,356
1625267771,20,33
1625279288,27,0
1625284742,84,106
1625287208,29,19
1625294884,16,38
1625311450,382,0
1625331619,1626,1603
1625353690,22,24
1625365446,22,57
1625371142,95,77
1625373127,27,0
1625380806,15,0
1625403621,367,395
1625418020,1416,1692
1625442488,31,46
1625454249,18,26
1625458332,149,156
1625466006,12,28
1625495768,368,343
1625504418,2125,2039
1625528170,24,22
1625539685,28,34
1625543942,119,70
1625547367,28,0
1625551218,15,0
1625587461,425,336
1625590819,2195,1923
1625613131,25,0
1625625131,26,0
1625630342,122,70
1625632807,23,54
1625640489,19,24
1625673619,2039,2181
1625679619,420,341
1625702891,18,70
1625710571,24,24
1625716743,120,69
1625718734,24,24
1625726411,18,15
1625756419,2029,1929
1625772489,365,342
1625788328,14,37
1625799847,25,63
1625803143,92,67
1625807771,24,29
1625811608,18,20
1625839221,1807,2049
1625864417,374,410
1625873529,23,0
1625885048,23,0
1625889542,113,75
1625892730,30,23
1625900484,18,12
1625925620,1579,1036
1625956087,368,361
1625958492,20,21
1625970009,35,32
1625975942,93,83
1625977694,28,0
1625985367,8,12
1626008420,1334,1567
1626047053,14,23
1626047766,362,380
1626058569,25,63
1626062342,112,80
1626066247,31,49
1626070086,19,0
1626091218,1990,1809
1626132253,16,16
1626139213,368,380
1626144005,26,15
1626148742,112,124
1626151688,27,21
1626159367,21,21
1626177620,1912,1836
1626221532,25,55
1626229207,27,0
1626230429,469,353
1626235143,125,106
1626236889,23,0
1626244809,19,0
1626260422,1875,1661
1626306967,15,0
1626318491,24,52
1626322358,512,535
1626330249,16,11
