DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,45,413696
1438136187,45,413696
1438136187,45,413696
1440631768,45,413696
1443512099,48,410368
1446103148,46,413952
1448836885,46,413440
1451465577,47,414464
1454452580,47,414208
1456617637,47,414464
1457913920,46,414208
1459215119,46,413952
1461880281,45,413696
1464584821,46,414208
1465357136,46,413952
1469759141,46,414208
1477611060,45,413952
1479089381,46,414208
1480463219,45,413952
1481597487,46,413952
1485219556,45,413952
1488152366,46,421888
1490917929,48,430592
1496154684,49,430592
1498709715,49,430848
1501291994,48,430336
1503993911,49,431360
1504170069,50,431872
1506621513,50,431616
1509242222,50,431872
1510612529,49,431104
1511913666,48,430592
1514507841,49,430848
1519685203,48,430592
1521068847,48,429824
1522340070,47,429568
1525042003,50,496640
1527721309,50,496384
1527721309,50,496384
1527721309,50,496384
1527721309,50,496384
1527721309,50,496384
1527721309,50,496384
1532913201,49,496128
1537947468,51,497408
1540940373,53,498944
1545955913,52,498432
1548772257,53,498944
1550036991,53,499456
1551310831,54,499968
1552517753,53,499456
1553816934,54,499712
1556577911,53,499456
1564477833,53,499712
1567080595,52,499456
1569797722,52,499200
1572392072,50,493568
1574934812,49,493056
1577748902,48,492544
1585610296,48,492800
1588067623,48,492544
1590623862,47,492032
1593407686,46,491520
1596061956,46,487936
1598571048,47,488448
1601420904,44,486656
1604015514,39,483840
1606693232,40,484352
1609370978,40,484096
1611877030,36,481792
1624921861,35,481536
